Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
4/30/2016,0,$0.00,34,0,0,0,0,,
5/1/2016,1,$0.00,34,0,0,0,1,,
5/2/2016,0,$0.00,34,0,0,0,0,,
5/3/2016,0,$0.00,34,0,0,0,0,,
5/4/2016,0,$0.00,34,0,0,0,0,,
5/5/2016,0,$0.00,34,0,0,0,0,,
5/6/2016,0,$0.00,34,0,0,0,0,,
5/7/2016,0,$0.00,34,0,0,0,0,,
5/8/2016,0,$0.00,34,0,0,0,0,,
5/9/2016,0,$0.00,34,0,0,0,0,,
5/10/2016,0,$0.00,34,0,0,0,0,,
5/11/2016,0,$0.00,34,0,0,0,1,,
5/12/2016,0,$0.00,34,0,0,0,0,,
5/13/2016,1,$0.00,34,0,0,0,1,,
5/14/2016,0,$0.00,34,0,0,0,0,,
5/15/2016,0,$0.00,34,0,0,0,0,,
5/16/2016,1,$0.00,34,0,0,0,1,,
5/17/2016,3,$0.00,34,0,0,0,3,,
5/18/2016,0,$0.00,34,0,0,0,0,,
5/19/2016,0,$0.00,34,0,0,0,1,,
5/20/2016,0,$0.00,34,0,0,0,0,,
5/21/2016,1,$0.00,34,0,0,0,0,,
5/22/2016,0,$0.00,34,0,0,0,0,,
5/23/2016,0,$0.00,34,0,0,0,0,,
5/24/2016,1,$0.00,34,0,0,0,3,,
5/25/2016,3,$0.00,34,0,0,0,3,,
5/26/2016,0,$0.00,34,0,0,0,0,,
5/27/2016,0,$0.00,34,0,0,0,0,,
5/28/2016,1,$0.00,34,0,0,0,0,,
5/29/2016,0,$0.00,34,0,0,0,0,,
5/30/2016,0,$0.00,34,0,0,0,0,,
5/31/2016,1,$0.00,34,0,0,0,0,,
6/1/2016,0,$0.00,34,0,0,0,0,,
6/2/2016,0,$0.00,34,0,0,0,0,,
6/3/2016,8,$0.00,35,0,1,0,9,,
6/4/2016,1,$0.00,34,0,0,0,4,,
6/5/2016,0,$0.00,34,0,0,0,10,,
6/6/2016,0,$0.00,34,0,0,0,4,,
6/7/2016,14,$0.00,35,0,1,0,8,,
6/8/2016,2,$0.00,35,0,0,0,9,,
6/9/2016,2,$0.00,35,0,0,0,5,,
6/10/2016,0,$0.00,35,0,0,0,8,,
6/11/2016,0,$0.00,35,0,0,0,0,,
6/12/2016,0,$0.00,35,0,0,0,0,,
6/13/2016,0,$0.00,35,0,0,0,7,,
6/14/2016,0,$0.00,35,0,0,0,14,,
6/15/2016,7,$0.00,36,0,1,0,16,,
6/16/2016,2,$0.00,37,0,1,0,12,,
6/17/2016,0,$0.00,37,0,0,0,8,,
6/18/2016,0,$0.00,37,0,0,0,3,,
6/19/2016,0,$0.00,37,0,0,0,0,,
6/20/2016,0,$0.00,37,0,0,0,6,,
6/21/2016,6,$0.00,38,0,1,0,2,,
6/22/2016,1,$0.00,38,0,0,0,11,,
6/23/2016,0,$0.00,38,0,0,0,10,,
6/24/2016,1,$0.00,38,0,0,0,10,,
6/25/2016,0,$0.00,38,0,0,0,2,,
6/26/2016,0,$0.00,38,0,0,0,1,,
6/27/2016,0,$0.00,38,0,0,0,7,,
6/28/2016,4,$0.00,38,0,0,0,10,,
6/29/2016,0,$0.00,38,0,0,0,9,,
6/30/2016,2,$0.00,38,0,0,0,10,,
7/1/2016,1,$0.00,38,0,0,0,11,,
7/2/2016,1,$0.00,38,0,0,0,3,,
7/3/2016,0,$0.00,38,0,0,0,0,,
7/4/2016,0,$0.00,38,0,0,0,15,,
7/5/2016,0,$0.00,38,0,0,0,13,,
7/6/2016,2,$0.00,38,0,0,0,1,,
7/7/2016,0,$0.00,38,0,0,0,11,,
7/8/2016,0,$0.00,38,0,0,0,1,,
7/9/2016,0,$0.00,38,0,0,0,1,,
7/10/2016,2,$0.00,38,0,0,0,0,,
7/11/2016,3,$0.00,38,0,0,0,8,,
7/12/2016,5,$0.00,38,0,0,0,3,,
7/13/2016,1,$0.00,38,0,0,0,12,,
7/14/2016,0,$0.00,38,0,0,0,20,,
7/15/2016,0,$0.00,38,0,0,0,21,,
7/16/2016,0,$0.00,38,0,0,0,12,,
7/17/2016,1,$0.00,38,0,0,0,12,,
7/18/2016,2,$0.00,38,0,1,0,15,,
7/19/2016,1,$0.00,38,0,0,0,11,,
7/20/2016,0,$0.00,38,0,0,0,0,,
7/21/2016,1,$0.00,38,0,0,0,7,,
7/22/2016,1,$0.00,38,0,0,0,3,,
7/23/2016,0,$0.00,38,0,0,0,1,,
7/24/2016,3,$0.00,38,0,0,0,0,,
7/25/2016,2,$0.00,38,0,0,0,0,,
