Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
6/5/2017,11,$165.12,928,24,0,10760,30,,
6/6/2017,6,$170.47,951,22,1,11469,38,,
6/7/2017,14,$175.87,978,25,1,10679,43,,
6/8/2017,8,$161.67,1007,23,6,12048,46,,
6/9/2017,9,$184.57,1030,23,0,7858,7,,
6/10/2017,18,$144.53,1053,22,1,11690,6,,
6/11/2017,25,$182.65,1079,25,2,12296,333,,
6/12/2017,18,$173.12,1111,30,3,10963,377,,
6/13/2017,12,$166.18,1134,22,1,10353,173,,
6/14/2017,13,$184.52,1167,30,3,10946,63,,
6/15/2017,11,$158.69,1198,30,1,10757,51,,
6/16/2017,13,$167.14,1226,27,1,11415,54,,
6/17/2017,17,$164.44,1249,20,3,10215,13,,
6/18/2017,14,$161.71,1273,22,2,10215,13,,
6/19/2017,12,$156.38,1297,24,0,11388,40,,
6/20/2017,14,$115.78,1316,18,1,9155,227,,
6/21/2017,15,$117.80,1335,17,3,6039,375,,
6/22/2017,17,$107.72,1355,19,1,7430,251,,
6/23/2017,12,$118.38,1388,33,1,7468,239,,
6/24/2017,8,$97.66,1403,16,1,6862,160,,
6/25/2017,9,$108.15,1423,19,2,6290,127,,
6/26/2017,6,$109.63,1438,14,2,7989,71,,
6/27/2017,10,$108.16,1459,20,1,6605,65,,
6/28/2017,4,$32.04,1466,6,0,2900,32,,
